,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,New Recoverd,Active Cases,Serious Cases
0,0,North America,98656294,0,1462943,0,94348717,0,2844634,7207
1,0,Asia,148481916,109375,1425433,176,126417346,67069,20639137,12645
2,0,South America,56879752,0,1294985,0,53031574,0,2553193,10756
3,0,Europe,192060650,1397,1821494,5,178301833,173890,11937323,8681
4,0,Oceania,7385763,48560,10872,67,6858416,9096,516475,170
5,0,Africa,11921074,0,253860,0,11120021,0,547193,964
6,0,0,721,0,15,0,706,0,0,0
7,0,World,515386170,159332,6269602,248,470078613,250019,39037955,40423
8,1,USA,83356490,0,1023513,0,80836418,0,1496559,1655
9,2,India,43091393,0,523975,0,42547699,0,19719,698
10,3,Brazil,30502501,0,663816,0,29602372,0,236313,8318
11,4,France,28805690,0,146376,0,27301021,0,1358293,1511
12,5,Germany,25116363,0,136405,0,23000500,159200,1979458,1279
13,6,UK,22090523,0,175546,0,21395888,0,519089,278
14,7,Russia,18206167,0,376421,0,17569936,0,259810,2300
15,8,S. Korea,17438068,42277,23158,79,0,0,0,441
16,9,Italy,16633911,0,164041,0,15282800,0,1187070,371
17,10,Turkey,15037242,0,98808,0,14934029,0,4405,975
18,11,Spain,11953481,0,104668,0,11446906,0,401907,339
19,12,Vietnam,10662446,0,43047,0,9309336,0,1310063,480
20,13,Argentina,9083673,0,128653,0,8895999,0,59021,372
21,14,Netherlands,8054728,0,22266,0,7898759,0,133703,58
22,15,Japan,7978912,26720,29708,25,7597588,46310,351616,166
23,16,Iran,7223828,0,141138,0,6994857,0,87833,1024
24,17,Australia,6116320,39863,7413,46,5699816,0,409091,134
25,18,Colombia,6092667,0,139797,0,5926476,0,26394,342
26,19,Indonesia,6047491,0,156321,0,5884325,0,6845,2771
27,20,Poland,5997998,0,116070,0,5334779,0,547149,1125
28,21,Mexico,5740080,0,324350,0,5039624,0,376106,4798
29,22,Ukraine,5002870,0,108411,0,0,0,0,177
30,23,Malaysia,4452835,0,35567,0,4388491,0,28777,74
31,24,Thailand,4300614,9790,28917,54,4170419,17109,101278,1496
32,25,Austria,4161004,0,18200,0,4070732,0,72072,83
33,26,Israel,4085418,0,10699,0,4052605,0,22114,150
34,27,Belgium,4071279,0,31494,0,3850029,10351,189756,131
35,28,Czechia,3910386,1211,40194,4,3857558,857,12634,24
36,29,Portugal,3853800,0,22280,0,0,0,0,61
37,30,South Africa,3808368,0,100407,0,3663153,0,44808,192
38,31,Canada,3771460,0,39481,0,3470114,0,261865,468
39,32,Philippines,3686375,0,60439,0,3621244,0,4692,289
40,33,Switzerland,3619035,0,13865,0,3492051,2700,113119,69
41,34,Peru,3567863,0,212891,0,0,0,0,295
42,35,Chile,3566183,0,57580,0,3432333,0,76270,197
43,36,Greece,3343565,0,29284,0,3237163,0,77118,231
44,37,Denmark,2969194,0,6207,0,2948221,0,14766,8
45,38,Romania,2896843,0,65519,0,2606660,0,224664,179
46,39,Sweden,2500917,0,18739,0,2471418,206,10760,21
47,40,Iraq,2325352,0,25212,0,2298571,0,1569,14
48,41,Serbia,2008143,0,16013,0,1978619,0,13511,21
49,42,Bangladesh,1952743,0,29127,0,1896531,0,27085,1297
50,43,Hungary,1903200,0,46266,0,1808061,0,48873,40
51,44,Slovakia,1783353,0,19943,0,1748102,0,15308,50
52,45,Jordan,1694216,0,14048,0,1678941,0,1227,124
53,46,Georgia,1655221,0,16811,0,1637293,0,1117,0
54,47,Pakistan,1528624,21,30372,0,1494141,0,4111,107
55,48,Ireland,1520327,0,7103,0,1467271,0,45953,39
56,49,Norway,1427148,0,3006,0,0,0,0,20
57,50,Kazakhstan,1305566,9,13660,0,1291187,60,719,24
58,51,Hong Kong,1205396,0,9328,0,0,0,0,5
59,52,Singapore,1204184,0,1340,0,1142342,0,60502,6
60,53,Morocco,1165026,0,16069,0,1148661,0,296,293
61,54,Bulgaria,1158354,0,36953,0,986992,0,134409,82
62,55,Croatia,1124762,0,15856,0,1103572,0,5334,17
63,56,Cuba,1103488,0,8527,0,1094267,0,694,23
64,57,Lebanon,1097118,0,10392,0,1081770,0,4956,186
65,58,Lithuania,1059185,186,9111,1,1027730,895,22344,20
66,59,Tunisia,1040712,0,28566,0,0,0,0,29
67,60,Finland,1023013,0,3939,0,46000,0,973074,24
68,61,Slovenia,1012915,0,6602,0,993932,0,12381,23
69,62,Belarus,981070,0,6958,0,928536,0,45576,0
70,63,Nepal,978884,0,11951,0,966715,0,218,0
71,64,New Zealand,969959,8697,774,21,914741,9096,54444,0
72,65,Bolivia,905150,0,21923,0,859723,0,23504,220
73,66,UAE,899441,0,2302,0,883160,0,13979,0
74,67,Uruguay,895775,0,7197,0,886654,0,1924,18
75,68,Ecuador,869956,0,35598,0,0,0,0,759
76,69,Costa Rica,857290,0,8421,0,836721,0,12148,42
77,70,Guatemala,847491,0,17636,0,827705,0,2150,5
78,71,Latvia,823110,0,5777,0,809733,0,7600,8
79,72,Azerbaijan,792585,0,9709,0,782804,0,72,0
80,73,Panama,780148,0,8189,0,764020,0,7939,8
81,74,Saudi Arabia,754464,0,9094,0,742127,0,3243,50
82,75,Sri Lanka,663469,0,16507,0,646134,0,828,0
83,76,Paraguay,649455,0,18870,0,624673,0,5912,2
84,77,Kuwait,631409,0,2555,0,628090,0,764,8
85,78,Myanmar,612951,0,19434,0,591894,0,1623,0
86,79,Palestine,581940,0,5353,0,576242,0,345,17
87,80,Dominican Republic,579572,0,4376,0,574824,0,372,1
