,Unnamed: 0,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases
8,8,1,USA,84944227,101346,1028830,309,81545166,51724,2370231,2291
9,9,2,India,43134332,2510,524348,25,42594801,2346,15183,698
10,10,3,Brazil,30762413,10187,665595,104,29801225,54585,295593,8318
11,11,4,France,29315478,24332,147780,65,28497570,49415,670128,1173
12,12,5,Germany,26053934,40651,138633,145,24526300,100800,1389001,944
13,13,6,UK,22238715,6338,177977,87,21804585,30521,256153,188
14,14,7,Russia,18283706,5089,378168,96,17676801,6173,228737,2300
15,15,8,S. Korea,17914957,25108,23885,43,17271891,20044,619181,251
16,16,9,Italy,17205287,26831,165827,89,16164780,45494,874680,307
17,17,10,Turkey,15060112,0,98918,0,14957668,0,3526,975
18,18,11,Spain,12238073,19613,105947,101,11620275,10567,511851,339
19,19,12,Vietnam,10706111,1587,43075,2,9390032,7151,1273004,221
20,20,13,Argentina,9135308,0,128776,0,8895999,0,110533,300
21,21,14,Japan,8513463,38812,30211,36,8131023,34198,352229,106
22,22,15,Netherlands,8075194,1048,22306,5,8007677,3494,45211,36
23,23,16,Iran,7229582,228,141262,9,7030355,1864,57965,706
24,24,17,Australia,6863827,49921,8027,51,6477660,50329,378140,118
25,25,18,Colombia,6099111,0,139833,0,5930545,0,28733,342
26,26,19,Indonesia,6052100,250,156513,3,5891872,298,3715,2771
27,27,20,Poland,6005100,314,116255,13,5335204,14,553641,981
28,28,21,Mexico,5752441,0,324617,0,5050420,0,377404,4798
29,29,22,Ukraine,5009301,0,108497,0,0,0,0,177
30,30,23,Malaysia,4487482,2063,35638,5,4422615,2618,29229,36
31,31,24,Thailand,4401378,6463,29681,41,4312790,7091,58907,1496
32,32,25,Austria,4228908,3234,18333,5,4156309,0,54266,58
33,33,26,Belgium,4134293,0,31675,0,3979453,12443,123165,105
34,34,27,Israel,4118983,1904,10827,1,4091996,8385,16160,150
35,35,28,Portugal,4066674,0,22583,0,0,0,0,61
36,36,29,South Africa,3921633,6375,100916,18,3739543,5974,81174,192
37,37,30,Czechia,3917653,359,40264,0,3874521,1091,2868,6
38,38,31,Canada,3844725,2292,40664,37,3513673,1892,290388,370
39,39,32,Philippines,3688505,211,60455,3,3625934,230,2116,480
40,40,33,Switzerland,3642604,0,13934,0,3566520,2313,62150,71
41,41,34,Chile,3630741,6852,57782,15,3477767,2872,95192,141
42,42,35,Peru,3574876,694,213086,9,0,0,0,187
43,43,36,Greece,3414189,3708,29658,16,3332137,3172,52394,159
44,44,37,Denmark,2979238,0,6312,0,2963690,0,9236,11
45,45,38,Romania,2905539,484,65647,5,0,0,0,123
46,46,39,Sweden,2506607,0,18908,0,2478858,0,8841,7
47,47,40,Iraq,2327114,149,25216,0,2300633,122,1265,11
48,48,41,DPRK,2241610,263380,65,2,1486730,248730,754815,0
49,49,42,Serbia,2014653,336,16060,3,1991034,394,7559,9
50,50,43,Bangladesh,1953188,50,29127,0,1900575,221,23486,1259
51,51,44,Hungary,1914697,0,46446,0,1830803,0,37448,21
52,52,45,Slovakia,1788133,214,20075,2,1764337,500,3721,30
53,53,46,Jordan,1694216,0,14048,0,1678941,0,1227,124
54,54,47,Georgia,1655221,0,16811,0,1637293,0,1117,0
55,55,48,Ireland,1551835,0,7244,0,1521332,1402,23259,22
56,56,49,Pakistan,1529639,81,30379,0,1494141,0,5119,75
57,57,50,Norway,1431126,282,3094,0,0,0,0,20
58,58,51,Kazakhstan,1305683,16,13661,0,1291861,8,161,24
59,59,52,Singapore,1263033,4342,1374,3,1178334,0,83325,8
60,60,53,Hong Kong,1209931,243,9370,4,0,0,0,5
61,61,54,Morocco,1166377,153,16075,0,1149399,59,903,293
62,62,55,Bulgaria,1163225,239,37087,9,1042308,2328,83830,46
63,63,56,Taiwan,1156258,85728,1284,49,114635,15077,1040339,0
64,64,57,Croatia,1133565,426,15954,4,1114055,763,3556,9
65,65,58,Cuba,1104891,61,8529,0,1095986,91,376,23
66,66,59,Lebanon,1098432,119,10416,2,1085543,146,2473,186
67,67,60,New Zealand,1087466,7909,990,17,1029742,7519,56734,0
68,68,61,Finland,1081225,0,4406,0,0,0,0,21
69,69,62,Lithuania,1061375,129,9133,1,1034804,369,17438,12
70,70,63,Tunisia,1041789,0,28628,0,0,0,0,29
71,71,64,Slovenia,1021965,411,6628,0,1008162,742,7175,8
72,72,65,Belarus,982867,0,6978,0,0,0,0,0
73,73,66,Nepal,979051,11,11952,0,966950,12,149,0
74,74,67,Bolivia,906743,146,21943,0,865071,268,19729,220
75,75,68,UAE,904093,362,2302,0,887924,378,13867,0
76,76,69,Uruguay,902540,0,7213,0,892434,0,2893,18
77,77,70,Costa Rica,877533,0,8472,0,848035,0,21026,38
78,78,71,Ecuador,873609,0,35613,0,0,0,0,759
79,79,72,Guatemala,854891,0,17892,0,834528,0,2471,5
80,80,73,Latvia,826856,121,5813,0,818257,305,2786,7
81,81,74,Panama,824917,3417,8216,5,787412,3601,29289,16
82,82,75,Azerbaijan,792707,12,9710,0,782945,9,52,0
83,83,76,Saudi Arabia,762164,540,9127,3,746525,512,6512,80
84,84,77,Sri Lanka,663741,6,16512,0,646933,3,296,0
85,85,78,Paraguay,650283,354,18885,4,624673,0,6725,4
86,86,79,Kuwait,632474,0,2555,0,629392,0,527,3
87,87,80,Myanmar,613203,17,19434,0,592166,36,1603,0
88,88,81,Palestine,582246,0,5355,0,576764,0,127,17
89,89,82,Dominican Republic,581044,0,4377,0,576006,0,661,1
90,90,83,Bahrain,580346,414,1480,0,574154,657,4712,4
91,91,84,Estonia,575046,0,2561,0,516588,0,55897,4
92,92,85,Venezuela,523238,64,5716,1,516432,23,1090,230
93,93,86,Moldova,517753,0,11503,0,504142,0,2108,49
94,94,87,Egypt,515645,0,24613,0,442182,0,48850,122
95,95,88,Libya,501904,0,6430,0,490973,0,4501,101
96,96,89,Cyprus,477711,0,1032,0,124370,0,352309,60
97,97,90,Ethiopia,471227,82,7512,0,455810,1,7905,6
98,98,91,Mongolia,469885,0,2179,0,313256,0,154450,192
99,99,92,Honduras,424771,0,10896,0,132401,0,281474,105
100,100,93,Armenia,422917,0,8623,0,412071,0,2223,0
101,101,94,RÃÂ©union,411363,0,770,0,403795,0,6798,10
102,102,95,Oman,389473,0,4260,0,384669,0,544,2
103,103,96,Bosnia and Herzegovina,377709,32,15783,0,0,0,0,0
104,104,97,Qatar,366851,127,677,0,365125,92,1049,0
105,105,98,Kenya,324175,46,5649,0,318245,21,281,0
106,106,99,Zambia,320945,0,3984,0,316263,0,698,1
107,107,100,North Macedonia,311113,0,9296,0,301275,0,542,0
108,108,101,Botswana,306614,0,2692,0,303619,0,303,1
109,109,102,Albania,275732,0,3497,0,271975,0,260,2
110,110,103,Algeria,265847,6,6875,0,178381,5,80591,6
111,111,104,Nigeria,255924,0,3143,0,249977,0,2804,11
112,112,105,Zimbabwe,250469,263,5489,2,242906,91,2074,12
113,113,106,Luxembourg,244182,0,1073,0,235939,0,7170,0
114,114,107,Uzbekistan,238868,13,1637,0,237107,21,124,23
115,115,108,Montenegro,236630,61,2719,0,233238,0,673,6
116,116,109,Mozambique,225557,11,2201,0,223279,5,77,13
117,117,110,China,222775,193,5218,0,212651,309,4906,280
118,118,111,Laos,209658,11,754,0,0,0,0,0
119,119,112,Kyrgyzstan,200993,0,2991,0,196406,0,1596,131
120,120,113,Iceland,186969,0,153,0,0,0,0,0
121,121,114,Afghanistan,179669,55,7697,2,162604,3,9368,1124
122,122,115,Maldives,179560,0,298,0,163687,0,15575,25
123,123,116,Uganda,164069,0,3596,0,100205,0,60268,2
124,124,117,El Salvador,162089,0,4130,0,150662,0,7297,8
125,125,118,Ghana,161325,0,1445,0,159826,0,54,1
126,126,119,Namibia,160640,0,4031,0,153662,0,2947,0
127,127,120,Trinidad and Tobago,157363,423,3890,4,144433,644,9040,18
128,128,121,Martinique,153253,0,926,0,104,0,152223,8
129,129,122,Brunei,146044,261,221,0,144057,437,1766,0
130,130,123,Guadeloupe,140130,0,854,0,2250,0,137026,19
131,131,124,Cambodia,136262,0,3056,0,133201,3,5,0
132,132,125,Jamaica,133904,366,3021,3,85779,115,45104,0
133,133,126,Rwanda,129956,11,1459,0,45522,0,82975,0
134,134,127,Cameroon,119780,0,1927,0,117791,0,62,13
135,135,128,Angola,99194,0,1900,0,97149,0,145,0
136,136,129,Malta,93912,69,716,0,90785,136,2411,4
137,137,130,DRC,87633,0,1338,0,50930,0,35365,0
138,138,131,Senegal,86063,5,1966,0,84079,6,18,0
139,139,132,Malawi,85918,9,2637,0,82793,5,488,67
140,140,133,French Guiana,82313,0,397,0,11254,0,70662,1
141,141,134,Ivory Coast,82044,10,799,0,81213,9,32,0
142,142,135,Suriname,80240,0,1339,0,49466,0,29435,0
143,143,136,Barbados,78448,310,436,1,73585,105,4427,0
144,144,137,Channel Islands,75767,0,176,0,74979,0,612,0
145,145,138,French Polynesia,72858,11,649,0,0,0,0,7
146,146,139,Eswatini,72097,73,1404,0,70057,126,636,11
147,147,140,Fiji,64841,0,862,0,62931,0,1048,0
148,148,141,Madagascar,64276,0,1393,0,59370,0,3513,6
149,149,142,Guyana,64174,92,1231,2,62412,12,531,0
150,150,143,Sudan,62211,0,4937,0,0,0,0,0
151,151,144,New Caledonia,61514,0,312,0,60620,0,582,9
152,152,145,Bhutan,59574,0,21,0,59509,0,44,0
153,153,146,Mauritania,58972,33,982,0,57755,17,235,0
154,154,147,Belize,58419,87,677,0,56886,25,856,6
155,155,148,Cabo Verde,56156,15,401,0,55663,23,92,23
156,156,149,Syria,55877,2,3150,0,52581,11,146,0
157,157,150,Gabon,47608,0,304,0,47297,0,7,0
158,158,151,Papua New Guinea,44394,0,651,0,43726,0,17,7
159,159,152,Seychelles,43729,494,167,0,43040,487,522,0
160,160,153,CuraÃÂ§ao,43522,505,276,1,42622,419,624,3
161,161,154,Andorra,42572,0,153,0,41757,0,662,14
162,162,155,Burundi,41606,0,38,0,0,0,0,0
163,163,156,Mauritius,37955,25,996,0,36289,15,670,0
164,164,157,Mayotte,37523,0,187,0,2964,0,34372,0
165,165,158,Togo,37039,5,273,0,36740,0,26,0
166,166,159,Guinea,36597,0,442,0,36113,0,42,8
167,167,160,Aruba,36316,623,213,0,35808,609,295,0
168,168,161,Tanzania,35354,0,840,0,0,0,0,7
169,169,162,Faeroe Islands,34658,0,28,0,0,0,0,5
170,170,163,Bahamas,34148,88,810,0,32567,14,771,0
171,171,164,Lesotho,32910,0,697,0,24155,0,8058,0
172,172,165,Mali,31048,5,734,0,30144,0,170,0
173,173,166,Haiti,30746,12,835,0,29651,8,260,0
174,174,167,Isle of Man,28416,0,105,0,26794,0,1517,0
175,175,168,Benin,26952,0,163,0,25506,0,1283,5
176,176,169,Somalia,26521,0,1350,0,13182,0,11989,0
177,177,170,Saint Lucia,24873,93,368,0,23651,73,854,1
178,178,171,Cayman Islands,24477,0,28,0,8553,0,15896,1
179,179,172,Congo,24079,0,385,0,20178,0,3516,0
180,180,173,Timor-Leste,22890,0,131,0,22748,0,11,0
181,181,174,Burkina Faso,20853,0,382,0,20439,0,32,0
182,182,175,Nicaragua,18491,0,225,0,4225,0,14041,0
183,183,176,Gibraltar,18273,0,102,0,16579,0,1592,0
184,184,177,Solomon Islands,18174,0,146,0,16357,0,1671,2
185,185,178,South Sudan,17573,22,138,0,13514,0,3921,1
186,186,179,Liechtenstein,17392,15,84,0,17248,1,60,0
187,187,180,Tajikistan,17388,0,124,0,17264,0,0,0
188,188,181,Grenada,17146,85,223,0,15792,195,1131,4
189,189,182,San Marino,16991,139,115,0,16680,226,196,4
190,190,183,Equatorial Guinea,15910,0,183,0,15704,0,23,5
191,191,184,Djibouti,15631,0,189,0,15427,0,15,0
192,192,185,CAR,14649,0,113,0,6859,0,7677,2
193,193,186,Bermuda,14442,0,137,0,13945,0,360,0
194,194,187,Dominica,13116,0,63,0,12465,0,588,0
195,195,188,Samoa,12382,331,25,1,1605,0,10752,4
196,196,189,Monaco,12035,0,54,0,11922,0,59,4
197,197,190,Gambia,11999,0,365,0,11591,0,43,0
198,198,191,Greenland,11971,0,21,0,2761,0,9189,4
199,199,192,Yemen,11819,0,2149,0,9009,0,661,23
200,200,193,Tonga,11394,0,11,0,10693,0,690,0
201,201,194,Saint Martin,10602,0,63,0,1399,0,9140,7
202,202,195,Sint Maarten,10189,0,86,0,10068,0,35,10
203,203,196,Caribbean Netherlands,9986,0,35,0,9886,0,65,0
204,204,197,Eritrea,9753,2,103,0,9640,7,10,0
205,205,198,Niger,9031,0,310,0,8628,0,93,1
206,206,199,Vanuatu,8659,0,14,0,8287,0,358,0
207,207,200,Guinea-Bissau,8242,2,171,0,8011,0,60,6
208,208,201,Comoros,8100,0,160,0,7933,0,7,0
209,209,202,Antigua and Barbuda,7910,0,138,0,7597,0,175,1
210,210,203,Sierra Leone,7682,0,125,0,0,0,0,0
211,211,204,Liberia,7455,0,294,0,5747,0,1414,2
212,212,205,Chad,7415,0,193,0,4874,0,2348,0
213,213,206,St. Vincent Grenadines,6834,9,106,0,6641,0,87,0
214,214,207,British Virgin Islands,6690,0,62,0,0,0,0,1
215,215,208,Turks and Caicos,6097,0,36,0,6026,0,35,4
216,216,209,Sao Tome and Principe,5973,0,73,0,5897,0,3,0
217,217,210,Saint Kitts and Nevis,5654,11,43,0,5560,0,51,0
218,218,211,Cook Islands,5543,35,1,0,5433,32,109,0
219,219,212,Palau,4967,31,6,0,4240,40,721,1
220,220,213,St. Barth,4611,0,6,0,0,0,0,0
221,221,214,Anguilla,3116,0,9,0,3042,0,65,4
222,222,215,Kiribati,3098,0,13,0,2602,0,483,3
223,223,216,Saint Pierre Miquelon,2748,0,1,0,2449,0,298,1
224,224,217,Falkland Islands,1512,0,0,0,0,0,0,0
225,225,218,Montserrat,886,25,4,0,651,99,231,0
226,226,219,Diamond Princess,712,0,13,0,699,0,0,0
227,227,220,Wallis and Futuna,454,0,7,0,438,0,9,0
228,228,221,Macao,82,0,0,0,82,0,0,0
229,229,222,Vatican City,29,0,0,0,29,0,0,0
230,230,223,Marshall Islands,17,0,0,0,14,0,3,0
231,231,224,Western Sahara,10,0,1,0,9,0,0,0
232,232,225,MS Zaandam,9,0,2,0,7,0,0,0
233,233,226,Niue,9,0,0,0,9,0,0,0
234,234,227,Nauru,8,0,0,0,5,0,3,0
235,235,228,Micronesia,7,0,0,0,1,0,6,0
236,236,229,Saint Helena,2,0,0,0,2,0,0,0
